name,birthyear,language,lat,lng,gender,interests
Erica English,1951,French,46.18396,6.10237,f,dogs;children
Elizabeth Conway,1949,German,46.18396,6.10237,f,knitting;swim
Mathew Reeves,1930,French,47.30997,8.52462,m,cats;jazz;swim
Jesse Jackson,1949,German,47.30997,8.52462,m,knitting
Richard Mcintyre,1948,French,46.18396,6.10237,m,castles
Cynthia Cook,1947,French,46.18396,6.10237,f,gardening
Jose Kirk Jr.,1942,German,46.18396,6.10237,m,castles;gardening
Angela Bell,1928,German,47.30997,8.52462,f,swim
James Winters Jr.,1930,French,47.30997,8.52462,m,cats;children
Timothy Walker,1943,German,46.18396,6.10237,m,dogs;knitting
David Pearson,1946,French,47.30997,8.52462,m,dogs
Don Kerr,1949,German,46.18396,6.10237,m,swim
Claire Freeman,1941,French,46.18396,6.10237,f,castles
Michael Hatfield,1939,German,46.18396,6.10237,m,jazz
Christina Ross,1942,French,47.30997,8.52462,f,swim
Corey Garcia,1945,French,46.18396,6.10237,m,dogs;knitting
Stacy Vazquez,1948,German,46.18396,6.10237,f,gardening
Jacob Schmitt,1952,French,46.18396,6.10237,m,jazz
Daniel Lester,1952,German,47.30997,8.52462,m,cats;children;gardening
Gabriela Williams,1941,French,47.30997,8.52462,f,dogs;knitting
Stephanie Dickerson,1950,German,47.30997,8.52462,f,gardening
Stephen Brown,1931,German,46.18396,6.10237,m,cats;knitting
Erica Young,1928,German,46.18396,6.10237,f,swim
Matthew Montgomery,1937,French,46.18396,6.10237,m,children;jazz
Joel Gonzalez,1931,German,47.30997,8.52462,m,swim
Thomas Ponce,1928,French,47.30997,8.52462,m,dogs;castles
Christopher Adkins,1936,French,46.18396,6.10237,m,swim
Dennis Howell,1937,German,47.30997,8.52462,m,children
Mr. David Gonzalez,1928,French,47.30997,8.52462,m,cats;jazz
Carol Hardy,1932,German,46.18396,6.10237,f,jazz
Victor Reese,1940,French,46.18396,6.10237,m,children
David Dunn,1931,German,47.30997,8.52462,m,castles;swim
Theresa Sullivan,1949,German,46.18396,6.10237,f,dogs
Derek Sharp,1932,German,46.18396,6.10237,m,jazz
Travis Brooks,1928,German,46.18396,6.10237,m,cats;knitting
Kristen Frederick,1939,French,46.18396,6.10237,f,children;jazz;gardening;knitting
Mark Rivera,1931,German,47.30997,8.52462,m,swim
Veronica Barker,1928,French,47.30997,8.52462,f,jazz;knitting
Kurt Nichols,1941,French,47.30997,8.52462,m,swim
Heather Gonzalez,1943,German,47.30997,8.52462,f,knitting
Alexander Archer,1942,French,46.18396,6.10237,m,children;castles
Brian Flores,1949,German,46.18396,6.10237,m,castles;knitting
Rebecca Robinson,1934,French,47.30997,8.52462,f,swim
Jennifer Mendoza,1934,German,47.30997,8.52462,f,castles
Shari Lutz,1941,German,47.30997,8.52462,f,cats
John Malone,1950,German,47.30997,8.52462,m,jazz;castles
Danny Oliver Jr.,1951,French,47.30997,8.52462,m,cats;jazz
Virginia Frederick,1947,French,46.18396,6.10237,f,castles
Michelle Carroll,1944,French,47.30997,8.52462,f,gardening
Tanya Giles,1934,French,46.18396,6.10237,f,knitting
Erik Torres,1949,French,47.30997,8.52462,m,swim
Janet Bennett,1939,German,46.18396,6.10237,f,castles;swim
Kevin Morris,1944,French,46.18396,6.10237,m,jazz
Lucas Miller,1953,German,46.18396,6.10237,m,cats;swim
Linda Leblanc,1938,French,46.18396,6.10237,f,children;jazz;knitting
David Mendoza,1950,German,46.18396,6.10237,m,jazz;castles
Anthony Jacobs,1948,French,46.18396,6.10237,m,gardening
Dr. Jorge Larson,1935,German,47.30997,8.52462,m,cats;children
Donna Walter DDS,1940,French,46.18396,6.10237,f,cats;knitting
Lorraine Santiago,1941,French,46.18396,6.10237,f,children;castles
Jay Savage,1936,German,47.30997,8.52462,m,jazz
Emily Smith,1938,French,47.30997,8.52462,f,gardening
Roger Williams,1952,French,46.18396,6.10237,m,knitting
Anthony Ayala,1930,French,47.30997,8.52462,m,castles
Lisa Fischer,1928,German,47.30997,8.52462,f,dogs
Cassandra Smith,1948,German,47.30997,8.52462,f,children;gardening
Angela Hancock,1931,French,46.18396,6.10237,f,dogs;jazz
William Jordan,1941,French,46.18396,6.10237,m,castles
Wendy Smith,1929,German,46.18396,6.10237,f,cats
Robert Ward,1940,German,47.30997,8.52462,m,gardening
Mary Sutton,1937,German,47.30997,8.52462,f,dogs;swim
Joseph Watkins,1946,German,47.30997,8.52462,m,castles
Richard Miranda,1942,French,47.30997,8.52462,m,knitting
Lisa Williams,1931,French,46.18396,6.10237,f,gardening
Laura Castillo,1949,French,46.18396,6.10237,f,swim
Ann Ayers,1952,French,47.30997,8.52462,f,dogs;swim
Richard Cervantes,1932,French,47.30997,8.52462,m,swim
Shawn Powell,1936,French,46.18396,6.10237,m,dogs;children
Kristin Gomez,1941,German,47.30997,8.52462,f,knitting
Henry Brown,1951,French,47.30997,8.52462,m,knitting
Rachael Hernandez,1944,German,46.18396,6.10237,f,swim
Brittany Reynolds,1939,French,46.18396,6.10237,f,knitting
Andrew Potter,1945,German,47.30997,8.52462,m,jazz;castles
Glenda Flowers,1930,French,46.18396,6.10237,f,swim
Terry Villegas,1945,French,47.30997,8.52462,m,dogs;castles
William Johnson,1938,German,47.30997,8.52462,m,cats;knitting;swim
Mindy Taylor,1943,German,46.18396,6.10237,f,knitting
Sabrina Howard,1929,German,46.18396,6.10237,f,children
Brandon Ramirez,1942,French,47.30997,8.52462,m,children;swim
Jorge Young,1940,German,46.18396,6.10237,m,gardening;knitting
Miguel Walker,1935,German,46.18396,6.10237,m,cats;children;castles;swim
Julie Johnson,1935,French,47.30997,8.52462,f,gardening;swim
James Reed,1943,French,46.18396,6.10237,m,cats;dogs;jazz
Gregory Williams,1931,French,46.18396,6.10237,m,jazz
Karla Black,1942,French,47.30997,8.52462,f,gardening
Lisa Gray,1939,German,46.18396,6.10237,f,cats;children;gardening;knitting
Lisa Ramirez MD,1939,German,46.18396,6.10237,f,cats;jazz;castles
Sabrina Houston,1945,French,47.30997,8.52462,f,knitting
William Miles,1939,French,46.18396,6.10237,m,jazz;knitting
Eileen Knight MD,1942,German,47.30997,8.52462,f,cats;knitting
Anthony Haynes,1933,French,47.30997,8.52462,m,children
Terry Watson,1949,German,46.18396,6.10237,f,swim
Jason Rice,1944,German,46.18396,6.10237,m,cats;knitting
Bradley Brown,1931,German,46.18396,6.10237,m,swim
Oscar Wallace,1942,German,46.18396,6.10237,m,cats;jazz;swim
Matthew Johnson,1937,French,47.30997,8.52462,m,dogs
Richard Ferguson,1933,German,47.30997,8.52462,m,knitting
Joshua Schroeder,1931,German,46.18396,6.10237,m,castles;swim
Terri Sanchez,1936,French,46.18396,6.10237,f,cats;dogs;gardening
Amber Adams,1941,French,46.18396,6.10237,f,jazz;castles
Barbara Zamora,1932,German,47.30997,8.52462,f,gardening
Lisa Cabrera,1939,German,47.30997,8.52462,f,dogs;gardening
David Vasquez,1942,German,47.30997,8.52462,m,jazz;swim
Jessica Matthews,1946,French,47.30997,8.52462,f,jazz
Jennifer Collins,1939,German,46.18396,6.10237,f,castles;swim
Barbara Rogers,1929,German,46.18396,6.10237,f,swim
William Tanner,1937,French,47.30997,8.52462,m,castles
